"KEY","en","notes","sp","fr","de","it","pt-br"
"FURNITURE_NAME_SET_BLOCK_LAYINGL","橫放直角方塊","","Pieza L tumbada","Bloc «&nbsp;L&nbsp;» couché","Liegender „L“-Block","Blocco ""L"" orizzontale","Bloco ""L"" deitado"
"FURNITURE_DESC_SET_BLOCK_LAYINGL","","","","","","",""
"FURNITURE_NAME_SET_BLOCK_I","""壬"" 方塊","","Pieza I","Bloc «&nbsp;I&nbsp;»","„I“-Block","Blocco ""I""","Bloco ""I"""
"FURNITURE_DESC_SET_BLOCK_I","","","","","","",""
"FURNITURE_NAME_SET_BLOCK_SIDET","側向丁字方塊","","Pieza T de lado","Bloc «&nbsp;T&nbsp;» de côté","Seitlicher „T“-Block","Blocco ""T"" laterale","Bloco ""T"" de lado"
"FURNITURE_DESC_SET_BLOCK_SIDET","","","","","","",""
"FURNITURE_NAME_SET_BLOCK_DOWNL","橫放直角方塊","","Pieza L tumbada","Bloc «&nbsp;L&nbsp;» couché","Liegender „L“-Block","Blocco ""L"" orizzontale","Bloco ""L"" deitado"
"FURNITURE_DESC_SET_BLOCK_DOWNL","","","","","","",""
"FURNITURE_NAME_SET_BLOCK_SIDEI","橫放 ""壬"" 方塊","","Pieza I tumbada","Bloc «&nbsp;I&nbsp;» couché","Liegender „I“-Block","Blocco ""I"" orizzontale","Bloco ""I"" deitado"
"FURNITURE_DESC_SET_BLOCK_SIDEI","","","","","","",""
"FURNITURE_NAME_SET_MONSTER_SHELF","怪物 層架","","Estante monstruoso","Étagère monstre","Monsterregal","Scaffale a forma di mostro","Estante monstruosa"
"FURNITURE_DESC_SET_MONSTER_SHELF","","","","","","",""
"FURNITURE_NAME_SET_MONSTER_DRESSER","怪物 衣櫃","","Aparador monstruoso","Commode monstre","Monsterkleiderschrank","Comò a forma di mostro","Cômoda monstruosa"
"FURNITURE_DESC_SET_MONSTER_DRESSER","","","","","","",""
"FURNITURE_NAME_SET_MONSTER_TABLE","怪物 桌 甲","","Mesa monstruosa A","Table monstre A","Monstertisch A","Tavolo a forma di mostro A","Mesa monstruosa A"
"FURNITURE_DESC_SET_MONSTER_TABLE","","","","","","",""
"FURNITURE_NAME_SET_MONSTER_SUSPENDEDSHELF","懸掛式 怪物 層架 甲","","Estante monstruoso colgado A","Étagère suspendue monstre A","Monsterhängeregal A","Mensola sospesa a forma di mostro A","Prateleira monstruosa A"
"FURNITURE_DESC_SET_MONSTER_SUSPENDEDSHELF","","","","","","",""
"FURNITURE_NAME_SET_MONSTER_SIDETABLE","怪物 邊桌","","Mesilla monstruosa","Table d'appoint monstre","Monsterbeistelltisch","Tavolino a forma di mostro","Mesa lateral monstruosa"
"FURNITURE_DESC_SET_MONSTER_SIDETABLE","","","","","","",""
"FURNITURE_NAME_SET_MONSTER_SUSPENDEDSHELF2","懸掛式 怪物 層架 乙","","Estante monstruoso colgado B","Étagère suspendue monstre B","Monsterhängeregal B","Mensola sospesa a forma di mostro B","Prateleira monstruosa B"
"FURNITURE_DESC_SET_MONSTER_SUSPENDEDSHELF2","","","","","","",""
"FURNITURE_NAME_SET_MONSTER_CHAIR","怪物 椅","","Silla monstruosa","Chaise monstre","Monsterstuhl","Sedia a forma di mostro","Estante monstruosa"
"FURNITURE_DESC_SET_MONSTER_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_MONSTER_TABLE2","怪物 桌 乙","","Mesa monstruosa B","Table monstre B","Monstertisch B","Tavolo a forma di mostro B","Mesa monstruosa B"
"FURNITURE_DESC_SET_MONSTER_TABLE2","","","","","","",""
"FURNITURE_NAME_SET_MONSTER_TV","怪物 電視","","Tele monstruosa","TV monstre","Monsterfernseher","TV a forma di mostro","TV monstruosa"
"FURNITURE_DESC_SET_MONSTER_TV","","","","","","",""
"FURNITURE_NAME_SET_MONSTER_LAMP","怪物 燈","","Lámpara monstruosa","Lampe monstre","Monsterlampe","Lampada a forma di mostro","Luminária monstruosa"
"FURNITURE_DESC_SET_MONSTER_LAMP","","","","","","",""
"FURNITURE_NAME_SET_ANGELIC_BED","天使 床","","Cama angelical","Lit angélique","Engelbett","Letto angelico","Cama angelical"
"FURNITURE_DESC_SET_ANGELIC_BED","","","","","","",""
"FURNITURE_NAME_SET_ANGELIC_SHELF","天使 層架","","Estante angelical","Étagère angélique","Engelregal","Scaffale angelico","Estante angelical"
"FURNITURE_DESC_SET_ANGELIC_SHELF","","","","","","",""
"FURNITURE_NAME_SET_ANGELIC_CHAIR","天使 椅","","Silla angelical","Chaise angélique","Engelstuhl","Sedia angelica","Cadeira angelical"
"FURNITURE_DESC_SET_ANGELIC_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_ANGELIC_DRESSER","天使 衣櫃","","Aparador angelical","Commode angélique","Engelkleiderschrank","Comò angelico","Cômoda angelical"
"FURNITURE_DESC_SET_ANGELIC_DRESSER","","","","","","",""
"FURNITURE_NAME_SET_ANGELIC_SIDETABLE","天使 邊桌","","Mesilla angelical","Table d'appoint angélique","Engelbeistelltisch","Tavolino angelico","Mesa lateral angelical"
"FURNITURE_DESC_SET_ANGELIC_SIDETABLE","","","","","","",""
"FURNITURE_NAME_SET_ANGELIC_TOILET","天使 馬桶","","Retrete angelical","Toilettes angéliques","Engeltoilette","WC angelico","Privada angelical"
"FURNITURE_DESC_SET_ANGELIC_TOILET","","","","","","",""
"FURNITURE_NAME_SET_ANGELIC_TABLE","天使 桌 甲","","Mesa angelical A","Table angélique A","Engeltisch A","Tavolo angelico A","Mesa angelical A"
"FURNITURE_DESC_SET_ANGELIC_TABLE","","","","","","",""
"FURNITURE_NAME_SET_ANGELIC_TABLE2","天使 桌 乙","","Mesa angelical B","Table angélique B","Engeltisch B","Tavolo angelico B","Mesa angelical B"
"FURNITURE_DESC_SET_ANGELIC_TABLE2","","","","","","",""
"FURNITURE_NAME_SET_ANGELIC_SUSPENDEDSHELF","懸掛式 天使 層架","","Estante angelical colgado","Étagère suspendue angélique","Engelhängeregal","Mensola sospesa angelica","Prateleira angelical"
"FURNITURE_DESC_SET_ANGELIC_SUSPENDEDSHELF","","","","","","",""
"FURNITURE_NAME_SET_ANGELIC_LAMP","天使 燈","","Lámpara angelical","Lampe angélique","Engellampe","Lampada angelica","Luminária angelical"
"FURNITURE_DESC_SET_ANGELIC_LAMP","","","","","","",""
"FURNITURE_NAME_SET_ATOMIC_STOVE","原子 爐","","Hornillo atómico","Cuisinière atomique","Radioaktiver Ofen","Stufa atomica","Fogão atômico"
"FURNITURE_DESC_SET_ATOMIC_STOVE","","","","","","",""
"FURNITURE_NAME_SET_ATOMIC_FRIGE","原子 冰箱","","Nevera atómica","Frigo atomique","Radioaktiver Kühlschrank","Frigo atomico","Geladeira atômica"
"FURNITURE_DESC_SET_ATOMIC_FRIGE","","","","","","",""
"FURNITURE_NAME_SET_ATOMIC_COUCH","原子 沙發","","Sofá atómico","Canapé atomique","Radioaktives Sofa","Divano atomico","Sofá atômico"
"FURNITURE_DESC_SET_ATOMIC_COUCH","","","","","","",""
"FURNITURE_NAME_SET_ATOMIC_TV","原子 電視","","Tele atómica","TV atomique","Radioaktiver Fernseher","TV atomica","TV atômica"
"FURNITURE_DESC_SET_ATOMIC_TV","","","","","","",""
"FURNITURE_NAME_SET_ATOMIC_TABLE","原子 桌","","Mesa atómica","Table atomique","Radioaktiver Tisch","Tavolo atomico","Mesa atômica"
"FURNITURE_DESC_SET_ATOMIC_TABLE","","","","","","",""
"FURNITURE_NAME_SET_ATOMIC_SIDETABLE","原子 邊桌","","Mesilla atómica","Table d'appoint atomique","Radioaktiver Beistelltisch","Tavolino atomico","Mesa lateral atômica"
"FURNITURE_DESC_SET_ATOMIC_SIDETABLE","","","","","","",""
"FURNITURE_NAME_SET_ATOMIC_RADIO","原子 收音機","","Radio atómica","Radio atomique","Radioaktives Radio","Radio atomica","Rádio atômico"
"FURNITURE_DESC_SET_ATOMIC_RADIO","","","","","","",""
"FURNITURE_NAME_SET_ATOMIC_LAMP","原子 燈","","Lámpara atómica","Lampe atomique","Radioaktive Lampe","Lampada atomica","Luminária atômica"
"FURNITURE_DESC_SET_ATOMIC_LAMP","","","","","","",""
"FURNITURE_NAME_SET_ATOMIC_SHELF","原子 層架","","Estante atómico","Étagère atomique","Radioaktives Regal","Scaffale atomico","Estante atômica"
"FURNITURE_DESC_SET_ATOMIC_SHELF","","","","","","",""
"FURNITURE_NAME_SET_ATOMIC_CHAIR","原子 椅","","Silla atómica","Chaise atomique","Radioaktiver Stuhl","Sedia atomica","Cadeira atômica"
"FURNITURE_DESC_SET_ATOMIC_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_ELEGANT_TABLE","優雅 桌","","Mesa elegante","Table élégante","Stilvoller Tisch","Tavolo elegante","Mesa elegante"
"FURNITURE_DESC_SET_ELEGANT_TABLE","","","","","","",""
"FURNITURE_NAME_SET_ELEGANT_BED","優雅 床","","Cama elegante","Lit élégant","Stilvolles Bett","Letto elegante","Cama elegante"
"FURNITURE_DESC_SET_ELEGANT_BED","","","","","","",""
"FURNITURE_NAME_SET_ELEGANT_DESK","優雅 書桌","","Escritorio elegante","Bureau élégant","Stilvoller Schreibtisch","Scrivania elegante","Escrivaninha elegante"
"FURNITURE_DESC_SET_ELEGANT_DESK","","","","","","",""
"FURNITURE_NAME_SET_ELEGANT_DRESSER","優雅 衣櫃 甲","","Aparador elegante A","Commode élégante A","Stilvoller Kleiderschrank A","Comò elegante A","Cômoda elegante A"
"FURNITURE_DESC_SET_ELEGANT_DRESSER","","","","","","",""
"FURNITURE_NAME_SET_ELEGANT_DRESSER2","優雅 衣櫃 乙","","Aparador elegante B","Commode élégante B","Stilvoller Kleiderschrank B","Comò elegante B","Cômoda elegante B"
"FURNITURE_DESC_SET_ELEGANT_DRESSER2","","","","","","",""
"FURNITURE_NAME_SET_ELEGANT_SIDETABLE","優雅 邊桌 甲","","Mesilla elegante A","Table d'appoint élégante A","Stilvoller Beistelltisch A","Tavolino elegante A","Mesa lateral elegante A"
"FURNITURE_DESC_SET_ELEGANT_SIDETABLE","","","","","","",""
"FURNITURE_NAME_SET_ELEGANT_SIDETABLE2","優雅 邊桌 乙","","Mesilla elegante B","Table d'appoint élégante B","Stilvoller Beistelltisch B","Tavolino elegante B","Mesa lateral elegante B"
"FURNITURE_DESC_SET_ELEGANT_SIDETABLE2","","","","","","",""
"FURNITURE_NAME_SET_ELEGANT_CHAIR","優雅 椅","","Silla elegante","Chaise élégante","Stilvoller Stuhl","Sedia elegante","Cadeira elegante"
"FURNITURE_DESC_SET_ELEGANT_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_ELEGANT_SHELF","優雅 層架","","Estante elegante","Étagère élégante","Stilvolles Regal","Mensola elegante","Estante elegante"
"FURNITURE_DESC_SET_ELEGANT_SHELF","","","","","","",""
"FURNITURE_NAME_SET_ELEGANT_LAMP","優雅 燈","","Lámpara elegante","Lampe élégante","Stilvolle Lampe","Lampada elegante","Luminária elegante"
"FURNITURE_DESC_SET_ELEGANT_LAMP","","","","","","",""
"FURNITURE_NAME_SET_MODERN_BED","現代 床","","Cama moderna","Lit moderne","Modernes Bett","Letto moderno","Cama moderna"
"FURNITURE_DESC_SET_MODERN_BED","","","","","","",""
"FURNITURE_NAME_SET_MODERN_FRIGE","現代 冰箱","","Nevera moderna","Frigo moderne","Moderner Kühlschrank","Frigo moderno","Geladeira moderna"
"FURNITURE_DESC_SET_MODERN_FRIGE","","","","","","",""
"FURNITURE_NAME_SET_MODERN_STOVE","現代 爐","","Hornillo moderno","Cuisinière moderne","Moderner Ofen","Stufa moderna","Fogão moderno"
"FURNITURE_DESC_SET_MODERN_STOVE","","","","","","",""
"FURNITURE_NAME_SET_MODERN_COUCH","現代 沙發","","Sofá moderno","Canapé moderne","Modernes Sofa","Divano moderno","Sofá moderno"
"FURNITURE_DESC_SET_MODERN_COUCH","","","","","","",""
"FURNITURE_NAME_SET_MODERN_CHAIR","現代 椅","","Silla moderna","Chaise moderne","Moderner Stuhl","Sedia moderna","Cadeira moderna"
"FURNITURE_DESC_SET_MODERN_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_MODERN_DRESSER","現代 衣櫃","","Aparador moderno","Commode moderne","Moderner Kleiderschrank","Comò moderno","Cômoda moderna"
"FURNITURE_DESC_SET_MODERN_DRESSER","","","","","","",""
"FURNITURE_NAME_SET_MODERN_SIDETABLE","現代 邊桌","","Mesilla moderna","Table d'appoint moderne","Moderner Beistelltisch","Tavolino moderno","Mesa lateral moderna"
"FURNITURE_DESC_SET_MODERN_SIDETABLE","","","","","","",""
"FURNITURE_NAME_SET_MODERN_TABLE","現代 桌","","Mesa moderna","Table moderne","Moderner Tisch","Tavolo moderno","Mesa moderna"
"FURNITURE_DESC_SET_MODERN_TABLE","","","","","","",""
"FURNITURE_NAME_SET_MODERN_DESK","現代 書桌","","Escritorio moderno","Bureau moderne","Moderner Schreibtisch","Scrivania moderna","Escrivaninha moderna"
"FURNITURE_DESC_SET_MODERN_DESK","","","","","","",""
"FURNITURE_NAME_SET_MODERN_TV","現代 電視","","Tele moderna","TV moderne","Moderner Fernseher","TV moderna","TV moderna"
"FURNITURE_DESC_SET_MODERN_TV","","","","","","",""
"FURNITURE_NAME_SET_80S_COUCH","80年代 沙發","","Sofá ochentero","Canapé années&nbsp;80","80er-Sofa","Divano anni '80","Sofá anos 80"
"FURNITURE_DESC_SET_80S_COUCH","","","","","","",""
"FURNITURE_NAME_SET_80S_BED","80年代 床","","Cama ochentera","Lit années&nbsp;80","80er-Bett","Letto anni '80","Cama anos 80"
"FURNITURE_DESC_SET_80S_BED","","","","","","",""
"FURNITURE_NAME_SET_80S_DRESSER","80年代 衣櫃","","Aparador ochentero","Commode années&nbsp;80","80er-Kleiderschrank","Comò anni '80","Cômoda anos 80"
"FURNITURE_DESC_SET_80S_DRESSER","","","","","","",""
"FURNITURE_NAME_SET_80S_CHAIR","80年代 椅","","Silla ochentera","Chaise années&nbsp;80","80er-Stuhl","Sedia anni '80","Cadeira anos 80"
"FURNITURE_DESC_SET_80S_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_80S_STOVE","80年代 爐","","Hornillo ochentero","Cuisinière années&nbsp;80","80er-Ofen","Stufa anni '80","Fogão anos 80"
"FURNITURE_DESC_SET_80S_STOVE","","","","","","",""
"FURNITURE_NAME_SET_80S_FRIGE","80年代 冰箱","","Nevera ochentera","Frigo années&nbsp;80","80er-Kühlschrank","Frigo anni '80","Geladeira anos 80"
"FURNITURE_DESC_SET_80S_FRIGE","","","","","","",""
"FURNITURE_NAME_SET_80S_SHELF","80年代 層架","","Estante ochentero","Étagère années&nbsp;80","80er-Regal","Scaffale anni '80","Prateleira anos 80"
"FURNITURE_DESC_SET_80S_SHELF","","","","","","",""
"FURNITURE_NAME_SET_80S_TV","80年代 電視","","Tele ochentera","TV années&nbsp;80","80er-Fernseher","TV anni '80","TV anos 80"
"FURNITURE_DESC_SET_80S_TV","","","","","","",""
"FURNITURE_NAME_SET_80S_TABLE","80年代 桌","","Mesa ochentera","Table années&nbsp;80","80er-Tisch","Tavolo anni '80","Mesa anos 80"
"FURNITURE_DESC_SET_80S_TABLE","","","","","","",""
"FURNITURE_NAME_SET_80S_SIDETABLE","80年代 邊桌","","Mesilla ochentera","Table d'appoint années&nbsp;80","80er-Beistelltisch","Tavolino anni '80","Mesa lateral anos 80"
"FURNITURE_DESC_SET_80S_SIDETABLE","","","","","","",""
"FURNITURE_NAME_SET_RETRO_BED","藝術 裝飾 床","","Cama art déco","Lit art déco","Art Deco Bett","Letto Art Déco","Cama art déco"
"FURNITURE_DESC_SET_RETRO_BED","","","","","","",""
"FURNITURE_NAME_SET_RETRO_STOVE","藝術 裝飾 爐","","Hornillo art déco","Cuisinière art déco","Art Deco Ofen","Stufa Art Déco","Fogão art déco"
"FURNITURE_DESC_SET_RETRO_STOVE","","","","","","",""
"FURNITURE_NAME_SET_RETRO_FRIGE","藝術 裝飾 冰箱","","Nevera art déco","Frigo art déco","Art Deco Kühlschrank","Frigo Art Déco","Geladeira art déco"
"FURNITURE_DESC_SET_RETRO_FRIGE","","","","","","",""
"FURNITURE_NAME_SET_RETRO_COUCH","藝術 裝飾 沙發","","Sofá art déco","Canapé art déco","Art Deco Sofa","Divano Art Déco","Sofá art déco"
"FURNITURE_DESC_SET_RETRO_COUCH","","","","","","",""
"FURNITURE_NAME_SET_RETRO_CHAIR","藝術 裝飾 椅","","Silla art déco","Chaise art déco","Art Deco Stuhl","Sedia Art Déco","Cadeira art déco"
"FURNITURE_DESC_SET_RETRO_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_RETRO_DRESSER","藝術 裝飾 衣櫃","","Aparador art déco","Commode art déco","Art Deco Kleiderschrank","Comò Art Déco","Cômoda art déco"
"FURNITURE_DESC_SET_RETRO_DRESSER","","","","","","",""
"FURNITURE_NAME_SET_RETRO_DRESSER2","藝術 裝飾 梳妝台","","Tocador art déco","Coiffeuse art déco","Art Deco Frisiertisch","Toeletta Art Déco","Penteadeira art déco"
"FURNITURE_DESC_SET_RETRO_DRESSER2","","","","","","",""
"FURNITURE_NAME_SET_RETRO_DRESSER3","藝術 裝飾 大衣櫃","","Cómoda art déco","Armoire art déco","Art Deco Vertiko","Armadio Art Déco","Guarda-roupa art déco"
"FURNITURE_DESC_SET_RETRO_DRESSER3","","","","","","",""
"FURNITURE_NAME_SET_RETRO_SIDETABLE","藝術 裝飾 邊桌","","Mesilla art déco","Table d'appoint art déco","Art Deco Beistelltisch","Tavolino Art Déco","Mesa lateral art déco"
"FURNITURE_DESC_SET_RETRO_SIDETABLE","","","","","","",""
"FURNITURE_NAME_SET_RETRO_LAMP","藝術 裝飾 燈","","Lámpara art déco","Lampe art déco","Art Deco Lampe","Lampada Art Déco","Luminária art déco"
"FURNITURE_DESC_SET_RETRO_LAMP","","","","","","",""
"FURNITURE_NAME_SET_90S_BED","90年代 床","","Cama noventera","Lit années&nbsp;90","90er-Bett","Letto anni '90","Cama anos 90"
"FURNITURE_DESC_SET_90S_BED","","","","","","",""
"FURNITURE_NAME_SET_90S_CABINET","懸掛式 90年代 櫃","","Vitrina noventera colgada","Placard suspendu années&nbsp;90","90er-Hängeschrank","Armadietto sospeso anni '90","Armário suspenso anos 90"
"FURNITURE_DESC_SET_90S_CABINET","","","","","","",""
"FURNITURE_NAME_SET_90S_CABINET2","90年代 櫃","","Vitrina noventera","Placard années&nbsp;90","90er-Schrank","Armadietto anni '90","Armário anos 90"
"FURNITURE_DESC_SET_90S_CABINET2","","","","","","",""
"FURNITURE_NAME_SET_90S_SINK","90年代 洗手台","","Lavabo noventero","Évier années&nbsp;90","90er-Waschbecken","Lavandino anni '90","Pia anos 90"
"FURNITURE_DESC_SET_90S_SINK","","","","","","",""
"FURNITURE_NAME_SET_90S_STOVE","90年代 爐","","Hornillo noventero","Cuisinière années&nbsp;90","90er-Ofen","Stufa anni '90","Fogão anos 90"
"FURNITURE_DESC_SET_90S_STOVE","","","","","","",""
"FURNITURE_NAME_SET_90S_FRIGE","90年代 冰箱","","Nevera noventera","Frigo années&nbsp;90","90er-Kühlschrank","Frigorifero anni '90","Geladeira anos 90"
"FURNITURE_DESC_SET_90S_FRIGE","","","","","","",""
"FURNITURE_NAME_SET_90S_SHELF","90年代 層架","","Estante noventero","Étagère années&nbsp;90","90er-Regal","Scaffale anni '90","Estante anos 90"
"FURNITURE_DESC_SET_90S_SHELF","","","","","","",""
"FURNITURE_NAME_SET_90S_SUSPENDEDSHELF","懸掛式 90年代 層架","","Estante noventero colgado","Étagère suspendue années&nbsp;90","90er-Hängeregal","Mensola sospesa anni '90","Prateleira anos 90"
"FURNITURE_DESC_SET_90S_SUSPENDEDSHELF","","","","","","",""
"FURNITURE_NAME_SET_90S_CHAIR","90年代 椅","","Silla noventera","Chaise années&nbsp;90","90er-Stuhl","Sedia anni '90","Cadeira anos 90"
"FURNITURE_DESC_SET_90S_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_90S_STOOL","90年代 凳","","Taburete noventero","Tabouret années&nbsp;90","90er-Hocker","Sgabello anni '90","Banqueta anos 90"
"FURNITURE_DESC_SET_90S_STOOL","","","","","","",""
"FURNITURE_NAME_SET_MUSHROOM_TABLE1","蘑菇 桌 甲","","Mesa fúngica A","Table champignon A","Pilztisch A","Tavolo a forma di fungo A","Mesa cogumelo A"
"FURNITURE_DESC_SET_MUSHROOM_TABLE1","","","","","","",""
"FURNITURE_NAME_SET_MUSHROOM_STOOL","蘑菇 凳 甲","","Taburete fúngico A","Tabouret champignon A","Pilzhocker A","Sgabello a forma di fungo A","Banqueta cogumelo A"
"FURNITURE_DESC_SET_MUSHROOM_STOOL","","","","","","",""
"FURNITURE_NAME_SET_MUSHROOM_STOOL2","蘑菇 凳 乙","","Taburete fúngico B","Tabouret champignon B","Pilzhocker B","Sgabello a forma di fungo B","Banqueta cogumelo B"
"FURNITURE_DESC_SET_MUSHROOM_STOOL2","","","","","","",""
"FURNITURE_NAME_SET_MUSHROOM_CHAIR","蘑菇 椅","","Silla fúngica","Chaise champignon","Pilzstuhl","Sedia a forma di fungo","Cadeira cogumelo"
"FURNITURE_DESC_SET_MUSHROOM_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_MUSHROOM_TABLE","蘑菇 桌 乙","","Mesa fúngica B","Table champignon B","Pilztisch B","Tavolo a forma di fungo B","Mesa cogumelo B"
"FURNITURE_DESC_SET_MUSHROOM_TABLE","","","","","","",""
"FURNITURE_NAME_SET_MUSHROOM_TOILET","蘑菇 馬桶","","Retrete fúngico","Toilettes champignon","Pilztoilette","WC a forma di fungo","Privada cogumelo"
"FURNITURE_DESC_SET_MUSHROOM_TOILET","","","","","","",""
"FURNITURE_NAME_SET_MUSHROOM_SHELF","蘑菇 層架","","Estante fúngico","Étagère champignon","Pilzregal","Mensola a forma di fungo","Estante cogumelo"
"FURNITURE_DESC_SET_MUSHROOM_SHELF","","","","","","",""
"FURNITURE_NAME_SET_MUSHROOM_SUSPENDEDSHELF","懸掛式 蘑菇 層架 甲","","Estante fúngico colgado A","Étagère suspendue champignon A","Pilzhängeregal A","Mensola sospesa a forma di fungo A","Prateleira cogumelo A"
"FURNITURE_DESC_SET_MUSHROOM_SUSPENDEDSHELF","","","","","","",""
"FURNITURE_NAME_SET_MUSHROOM_SUSPENDEDSHELF2","懸掛式 蘑菇 層架 乙","","Estante fúngico colgado B","Étagère suspendue champignon B","Pilzhängeregal B","Mensola sospesa a forma di fungo B","Prateleira cogumelo B"
"FURNITURE_DESC_SET_MUSHROOM_SUSPENDEDSHELF2","","","","","","",""
"FURNITURE_NAME_SET_MUSHROOM_STOOL3","蘑菇 凳 丙","","Taburete fúngico C","Tabouret champignon C","Pilzhocker C","Sgabello a forma di fungo C","Banqueta cogumelo C"
"FURNITURE_DESC_SET_MUSHROOM_STOOL3","","","","","","",""
"FURNITURE_NAME_SET_RUSTIC_DRESSER","鄉村 衣櫃","","Aparador rústico","Commode rustique","Rustikaler Kleiderschrank","Comò rustico","Cômoda rústica"
"FURNITURE_DESC_SET_RUSTIC_DRESSER","","","","","","",""
"FURNITURE_NAME_SET_RUSTIC_SHELF","懸掛式 鄉村 層架 甲","","Estante rústico colgado A","Étagère suspendue&nbsp;rustique A","Rustikales Hängeregal A","Mensola rustica sospesa A","Prateleira rústica A"
"FURNITURE_DESC_SET_RUSTIC_SHELF","","","","","","",""
"FURNITURE_NAME_SET_RUSTIC_SUSPENDEDSHELF","懸掛式 鄉村 層架 乙","","Estante rústico colgado B","Étagère suspendue rustique B","Rustikales Hängeregal B","Mensola rustica sospesa B","Prateleira rústica B"
"FURNITURE_DESC_SET_RUSTIC_SUSPENDEDSHELF","","","","","","",""
"FURNITURE_NAME_SET_RUSTIC_SIDETABLE","鄉村 邊桌","","Mesilla rústica","Table d'appoint rustique","Rustikaler Beistelltisch","Tavolino rustico","Mesa lateral rústica"
"FURNITURE_DESC_SET_RUSTIC_SIDETABLE","","","","","","",""
"FURNITURE_NAME_SET_RUSTIC_SUSPENDEDSHELF2","懸掛式 鄉村 香料 架","","Especiero rústico colgado","Étagère à épices suspendue rustique","Rustikales Gewürzregal","Portaspezie rustico sospeso","Suporte de temperos rústico"
"FURNITURE_DESC_SET_RUSTIC_SUSPENDEDSHELF2","","","","","","",""
"FURNITURE_NAME_SET_RUSTIC_CHAIR","鄉村 椅","","Silla rústica","Chaise rustique","Rustikaler Stuhl","Sedia rustica","Cadeira rústica"
"FURNITURE_DESC_SET_RUSTIC_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_RUSTIC_DESK","鄉村 書桌","","Escritorio rústico","Bureau rustique","Rustikaler Schreibtisch","Scrivania rustica","Escrivaninha rústica"
"FURNITURE_DESC_SET_RUSTIC_DESK","","","","","","",""
"FURNITURE_NAME_SET_RUSTIC_BENCH","鄉村 長凳","","Banco rústico","Banc rustique","Rustikale Bank","Panca rustica","Banco rústico"
"FURNITURE_DESC_SET_RUSTIC_BENCH","","","","","","",""
"FURNITURE_NAME_SET_RUSTIC_TABLE","鄉村 桌","","Mesa rústica","Table rustique","Rustikaler Tisch","Tavolo rustico","Mesa rústica"
"FURNITURE_DESC_SET_RUSTIC_TABLE","","","","","","",""
"FURNITURE_NAME_SET_RUSTIC_STOOL","鄉村 凳","","Taburete rústico","Tabouret rustique","Rustikaler Hocker","Sgabello rustico","Banqueta rústica"
"FURNITURE_DESC_SET_RUSTIC_STOOL","","","","","","",""
"FURNITURE_NAME_SET_CUTE_DRESSER","可愛 衣櫃","","Aparador cuqui","Commode mimi","Süßer Kleiderschrank","Comò carino","Cômoda fofinha"
"FURNITURE_DESC_SET_CUTE_DRESSER","","","","","","",""
"FURNITURE_NAME_SET_CUTE_SIDETABLE","可愛 邊桌 甲","","Mesilla cuqui A","Table d'appoint mimi A","Süßer Beistelltisch A","Tavolino carino A","Mesa lateral fofinha A"
"FURNITURE_DESC_SET_CUTE_SIDETABLE","","","","","","",""
"FURNITURE_NAME_SET_CUTE_SHELF","可愛 層架","","Estante cuqui","Étagère mimi","Süßes Regal","Scaffale carino","Estante fofinha"
"FURNITURE_DESC_SET_CUTE_SHELF","","","","","","",""
"FURNITURE_NAME_SET_CUTE_DRESSER2","可愛 大衣櫃","","Cómoda cuqui","Armoire mimi","Süßes Vertiko","Armadio carino","Guarda-roupa fofinho"
"FURNITURE_DESC_SET_CUTE_DRESSER2","","","","","","",""
"FURNITURE_NAME_SET_CUTE_COUCH","可愛 沙發","","Sofá cuqui","Canapé mimi","Süßes Sofa","Divano carino","Sofá fofinho"
"FURNITURE_DESC_SET_CUTE_COUCH","","","","","","",""
"FURNITURE_NAME_SET_CUTE_BED","可愛 床","","Cama cuqui","Lit mimi","Süßes Bett","Letto carino","Cama fofinha"
"FURNITURE_DESC_SET_CUTE_BED","","","","","","",""
"FURNITURE_NAME_SET_CUTE_CHAIR","可愛 椅","","Silla cuqui","Chaise mimi","Süßer Stuhl","Sedia carina","Cadeira fofinha"
"FURNITURE_DESC_SET_CUTE_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_CUTE_STOOL","可愛 凳","","Taburete cuqui","Tabouret mimi","Süßer Hocker","Sgabello carino","Banqueta fofinha"
"FURNITURE_DESC_SET_CUTE_STOOL","","","","","","",""
"FURNITURE_NAME_SET_CUTE_TABLE2","可愛 咖啡 桌","","Mesa de centro cuqui","Table d'appoint mimi","Süßer Kaffeetisch","Tavolino da caffè carino","Mesa de centro fofinha"
"FURNITURE_DESC_SET_CUTE_TABLE2","","","","","","",""
"FURNITURE_NAME_SET_CUTE_SIDETABLE2","可愛 邊桌 乙","","Mesilla cuqui B","Table d'appoint mimi B","Süßer Beistelltisch B","Tavolino carino B","Mesa lateral fofinha B"
